"filename", "language", "Vue", "JavaScript", "HTML", "CSS", "Markdown", "JSON", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Evaluationana.vue", "Vue", 107, 0, 0, 0, 0, 0, 0, 0, 10, 6, 123
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judge.vue", "Vue", 189, 0, 0, 0, 0, 0, 0, 0, 2, 18, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeExamana.vue", "Vue", 128, 0, 0, 0, 0, 0, 0, 0, 9, 7, 144
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\JudgeToEnd.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Judgeana.vue", "Vue", 118, 0, 0, 0, 0, 0, 0, 0, 9, 7, 134
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Limitation.vue", "Vue", 254, 0, 0, 0, 0, 0, 0, 0, 2, 22, 278
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Location.vue", "Vue", 178, 0, 0, 0, 0, 0, 0, 0, 2, 19, 199
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radio.vue", "Vue", 279, 0, 0, 0, 0, 0, 0, 0, 3, 25, 307
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioExamana.vue", "Vue", 123, 0, 0, 0, 0, 0, 0, 0, 9, 7, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\RadioToEnd.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 0, 6, 3, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Radioana.vue", "Vue", 109, 0, 0, 0, 0, 0, 0, 0, 9, 7, 125
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\Text.vue", "Vue", 178, 0, 0, 0, 0, 0, 0, 0, 2, 20, 200
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\components\TextToEnd.vue", "Vue", 55, 0, 0, 0, 0, 0, 0, 0, 7, 2, 64
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Analysis.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 2, 9, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\AnalysisForUser.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 0, 2, 16, 98
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\CheckboxExamana.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Checkboxana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Edit.css", "CSS", 0, 0, 0, 174, 0, 0, 0, 0, 0, 37, 211
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Epidemic.css", "CSS", 0, 0, 0, 172, 0, 0, 0, 0, 2, 35, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Evaluationana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Home.css", "CSS", 0, 0, 0, 75, 0, 0, 0, 0, 3, 5, 83
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Judgeana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Login.css", "CSS", 0, 0, 0, 56, 0, 0, 0, 0, 1, 11, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Preview.css", "CSS", 0, 0, 0, 73, 0, 0, 0, 0, 0, 13, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Radio.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\RadioToEnd.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Register.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 1, 12, 76
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Survey.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\TextToEnd.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\toend3.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 2, 9, 62
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\element-variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 6, 3, 12
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\main.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\network\request.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 1, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\plugins\element.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\registerServiceWorker.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\router\index.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 0, 6, 4, 120
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\store\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 28, 2, 51
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\@\css\Login.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\About.vue", "Vue", 114, 0, 0, 0, 0, 0, 0, 0, 20, 5, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Analysis.vue", "Vue", 206, 0, 0, 0, 0, 0, 0, 0, 24, 11, 241
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\AnalysisForUser.vue", "Vue", 87, 0, 0, 0, 0, 0, 0, 0, 1, 6, 94
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Apply.vue", "Vue", 626, 0, 0, 0, 0, 0, 0, 0, 4, 20, 650
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Edit.vue", "Vue", 571, 0, 0, 0, 0, 0, 0, 0, 85, 18, 674
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\End.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Epidemic.vue", "Vue", 616, 0, 0, 0, 0, 0, 0, 0, 3, 23, 642
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Error.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Exam.vue", "Vue", 614, 0, 0, 0, 0, 0, 0, 0, 4, 20, 638
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Home.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Login.vue", "Vue", 77, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Manage.vue", "Vue", 813, 0, 0, 0, 0, 0, 0, 0, 10, 5, 828
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Preview.vue", "Vue", 256, 0, 0, 0, 0, 0, 0, 0, 12, 9, 277
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Recycle.vue", "Vue", 323, 0, 0, 0, 0, 0, 0, 0, 0, 3, 326
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Register.vue", "Vue", 108, 0, 0, 0, 0, 0, 0, 0, 2, 10, 120
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Survey.vue", "Vue", 331, 0, 0, 0, 0, 0, 0, 0, 15, 15, 361
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Test.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 0, 108, 15, 153
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Vote.vue", "Vue", 564, 0, 0, 0, 0, 0, 0, 0, 4, 21, 589
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\test.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\toend3.vue", "Vue", 101, 0, 0, 0, 0, 0, 0, 0, 69, 13, 183
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\vue.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"Total", "-", 8210, 206, 32, 1191, 19, 13007, 3, 3, 536, 677, 23884
