"filename", "language", "JavaScript", "Vue", "HTML", "CSS", "SCSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Checkboxana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Edit.css", "CSS", 0, 0, 0, 174, 0, 0, 0, 0, 0, 37, 211
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Epidemic.css", "CSS", 0, 0, 0, 172, 0, 0, 0, 0, 2, 35, 209
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Evaluationana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Home.css", "CSS", 0, 0, 0, 75, 0, 0, 0, 0, 3, 5, 83
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Judgeana.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Login.css", "CSS", 0, 0, 0, 56, 0, 0, 0, 0, 1, 11, 68
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Preview.css", "CSS", 0, 0, 0, 73, 0, 0, 0, 0, 0, 13, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Radio.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\RadioToEnd.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Register.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 1, 12, 76
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\Survey.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\TextToEnd.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 11, 61
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\css\toend3.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 2, 8, 48
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\element-variables.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 6, 3, 12
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\network\request.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 1, 14
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\plugins\element.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\registerServiceWorker.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\router\index.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 6, 4, 125
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\store\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 28, 2, 51
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\@\css\Login.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\About.vue", "Vue", 0, 114, 0, 0, 0, 0, 0, 0, 20, 5, 139
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Analysis.vue", "Vue", 0, 202, 0, 0, 0, 0, 0, 0, 47, 10, 259
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\AnalysisForUser.vue", "Vue", 0, 111, 0, 0, 0, 0, 0, 0, 1, 17, 129
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Apply.vue", "Vue", 0, 628, 0, 0, 0, 0, 0, 0, 4, 20, 652
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Edit.vue", "Vue", 0, 573, 0, 0, 0, 0, 0, 0, 85, 18, 676
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\End.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Epidemic.vue", "Vue", 0, 618, 0, 0, 0, 0, 0, 0, 3, 23, 644
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Error.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Exam.vue", "Vue", 0, 616, 0, 0, 0, 0, 0, 0, 4, 20, 640
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Home.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Login.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Manage.vue", "Vue", 0, 818, 0, 0, 0, 0, 0, 0, 10, 5, 833
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Preview.vue", "Vue", 0, 256, 0, 0, 0, 0, 0, 0, 12, 9, 277
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Recycle.vue", "Vue", 0, 323, 0, 0, 0, 0, 0, 0, 0, 3, 326
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Register.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 0, 2, 10, 120
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Survey.vue", "Vue", 0, 343, 0, 0, 0, 0, 0, 0, 15, 15, 373
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Test.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 108, 15, 153
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\Vote.vue", "Vue", 0, 566, 0, 0, 0, 0, 0, 0, 4, 21, 591
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\test.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\toend2.vue", "Vue", 0, 189, 0, 0, 0, 0, 0, 0, 48, 9, 246
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\src\views\toend3.vue", "Vue", 0, 157, 0, 0, 0, 0, 0, 0, 14, 13, 184
"c:\Users\86181\Desktop\小学期\问卷星球\soft-project\software-engineer-project\前端\questionnaire\vue.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"Total", "-", 211, 8626, 32, 1172, 3, 3, 28709, 19, 567, 704, 40046
